title,date,keywords,keyphrase,popular words
How a combination of digital and data can be harnessed to create future sustainable business models,19 May 2023,"['organisation', 'business', 'stakeholder', 'sustainable', 'digital']","['organisations futurice', 'business fundamentally', 'business models', 'better organisations']","[('business', 19), ('create', 15), ('model', 15), ('impact', 12), ('digital', 9), ('organisation', 9), ('product', 9), ('people', 7), ('opportunity', 7), ('deliver', 7)]"
How equipped is your organization to be co-adaptive?,17 May 2023,"['adaptive', 'strategy', 'strategy', 'strategic', 'organizational']","['adaptive strategy', 'adaptive strategic', 'organisation adaptive', 'strategy adaptation']","[('people', 21), ('need', 20), ('organization', 19), ('co', 19), ('adaptive', 19), ('strategy', 19), ('datum', 16), ('decision', 14), ('work', 12), ('change', 11)]"
Pattern library playbook: Get set up for success,10 May 2023,"['design', 'prototype', 'workflow', 'documenting', 'toolset']","['design processes', 'design systems', 'design patterns', 'design tools']","[('library', 134), ('pattern', 102), ('design', 90), ('team', 61), ('component', 54), ('create', 41), (' ', 41), ('product', 34), ('work', 31), ('element', 27)]"
Futurice Quantum Computing Workshops,2 May 2023,"['quantum', 'workshop', 'compute', 'azure', 'futurice']","['microsoft quantum', 'quantum software', 'quantum computing', 'build quantum']","[('quantum', 24), ('workshop', 11), ('computing', 7), ('hardware', 6), ('today', 6), ('futurice', 3), ('workshops', 3), ('registration', 3), ('microsoft', 3), ('business', 3)]"
"FutuStories - Nine things that make me happy, an interview with Till Kleinhans",18 Apr 2023,"['designer', 'conversation', 'hobby', 'perspective', 'futustorie']","['business designer', 'business design', 'thoughtful designs', 'happy intellectual']","[('like', 10), ('happy', 9), ('    ', 9), ('design', 8), ('thing', 7), ('make', 7), ('work', 7), ('food', 7), ('find', 6), ('world', 6)]"
Find focus faster with co-adaptive strategy,13 Apr 2023,"['adaptive', 'strategic', 'approach', 'organizational', 'facilitator']","['strategy adaptive', 'adaptive strategy', 'adaptive capabilities', 'approach adaptive']","[('strategy', 32), ('co', 24), ('adaptive', 20), ('approach', 20), ('datum', 11), ('people', 9), ('need', 9), ('create', 8), ('business', 7), ('work', 7)]"
Delivering intuitive and market-relevant products and services with agile methods,5 Apr 2023,"['agile', 'innovate', 'product', 'launch', 'stage']","['agile product', 'discovery agile', 'product development', 'product discovery']","[('product', 44), ('agile', 24), ('discovery', 15), ('customer', 14), ('development', 14), ('organization', 13), ('process', 13), ('market', 12), ('methodology', 12), ('approach', 11)]"
Uncovering product discovery,31 Mar 2023,"['innovate', 'product', 'discovery', 'technology', 'prototype']","['product discovery', 'discovery product', 'product development', 'product mindset']","[('product', 58), ('discovery', 25), ('business', 15), ('build', 12), ('user', 10), ('vision', 10), ('need', 9), ('customer', 9), ('problem', 8), ('\n', 8)]"
"Building a culture of trust, care and transparency in Stockholm",21 Mar 2023,"['trust', 'transparency', 'stockholm', 'workplace', 'culture']","['transparency stockholm', 'trust transparency', 'culture trust', 'trust care']","[('trust', 7), ('stockholm', 5), ('work', 5), ('culture', 4), ('diverse', 4), ('people', 4), ('good', 4), ('futurice', 4), ('sweden', 4), ('care', 3)]"
How data-powered ecosystems can transform customer relationships and reimagine business opportunities,20 Mar 2023,"['ecosystem', 'organization', 'business', 'service', 'competitor']","['products ecosystem', 'ecosystems transform', 'use ecosystems', 'opportunities ecosystems']","[('ecosystem', 27), ('patient', 22), ('jrs', 17), ('healthcare', 13), ('provide', 11), ('model', 11), ('datum', 11), ('business', 9), ('platform', 9), ('time', 9)]"
Steering and measuring the success of product,20 Mar 2023,"['product', 'agile', 'success', 'development', 'digital']","['product success', 'product development', 'agile product', 'success product']","[('product', 44), ('measure', 24), ('success', 19), ('company', 17), ('change', 16), ('business', 14), ('strategic', 13), ('team', 12), ('strategy', 11), ('level', 11)]"
Martta Riihimäki joins Futurice Sweden as Managing Director,13 Mar 2023,"['martta', 'futurice', 'stockholm', 'ceo', 'digital']","['futurice sweden', 'sweden ceo', 'director martta', 'business sweden']","[('sweden', 10), ('martta', 8), ('futurice', 8), ('business', 5), ('director', 4), ('world', 4), ('digital', 4), ('riihimäki', 3), ('managing', 3), ('sail', 3)]"
FutuStories - Making an impact both at work and after – an interview with Eloise Smith-Foster,3 Mar 2023,"['futurice', 'service', 'designer', 'organisation', 'perspective']","['service designer', 'experienced futurice', 'futurice empowering', 'employee futurice']","[('work', 22), ('people', 12), ('design', 11), ('futurice', 9), ('service', 8), ('future', 7), ('company', 6), ('like', 6), ('need', 5), ('lot', 5)]"
Leading complexity and building great products,3 Mar 2023,"['agile', 'product', 'development', 'cultural', 'success']","['agile product', 'product development', 'product management', 'product organisations']","[('product', 29), ('team', 27), ('process', 13), ('work', 13), ('customer', 13), ('organization', 11), ('company', 10), ('people', 10), ('great', 9), ('focus', 9)]"
Playful design supports both creativity and innovation,20 Feb 2023,"['playful', 'playfulness', 'creativity', 'design', 'gamification']","['design playfulness', 'playful design', 'processes playful', 'business playfulness']","[('design', 31), ('playful', 29), ('fun', 20), ('user', 19), ('play', 15), ('product', 11), ('goal', 8), ('idea', 7), ('solution', 7), ('engagement', 7)]"
Why invest in better product management?,16 Feb 2023,"['agile', 'product', 'impactful', 'manage', 'capability']","['product management', 'impactful product', 'agile product', 'product development']","[('product', 63), ('management', 28), ('digital', 18), ('organization', 12), ('change', 12), ('company', 11), ('development', 10), ('business', 10), ('way', 10), ('focus', 9)]"
Agile and Sustainable: The Winning Formula for Business Growth and Resilience in 2023,15 Feb 2023,"['agile', 'sustainability', 'outcome', 'strategy', 'impactful']","['agile sustainable', 'digital agile', 'enabling agile', 'agile organizations']","[('organization', 11), ('customer', 11), ('sustainable', 8), ('business', 8), ('outcome', 8), ('focus', 8), ('digital', 8), ('value', 7), ('need', 6), ('product', 6)]"
10 benefits of sustainable business transformation - and the risks of inaction,15 Feb 2023,"['sustainability', 'sustainable', 'environmental', 'ecosystem', 'business']","['sustainable transformations', 'transformation sustainability', 'sustainable business', 'sustainability viable']","[('business', 18), ('sustainability', 18), ('company', 9), ('sustainable', 8), ('come', 8), ('transformation', 6), ('model', 6), ('industrial', 6), ('work', 6), ('unsustainable', 6)]"
FutuStories - Meet Tech Lead Johan,9 Feb 2023,"['consultant', 'expertise', 'skill', 'tech', 'opportunity']","['technical opportunities', 'opportunities skill', 'skills ideas', 'areas expertise']","[('opportunity', 9), ('people', 9), ('team', 6), ('work', 6), ('good', 6), ('way', 6), ('business', 5), ('right', 5), ('find', 5), ('lot', 5)]"
Introducing the Futurice culture handbook 2.0,17 Jan 2023,"['futurice', 'futuricean', 'culture', 'futufolklore', 'practice']","['futurice culture', 'experience futurice', 'stories futuriceans', 'culture handbook']","[('culture', 21), ('handbook', 13), ('futurice', 9), ('2.0', 7), ('story', 6), ('example', 4), ('futuriceans', 4), ('company', 4), ('value', 4), ('work', 4)]"
FutuStories: Henry Burnett’s story,13 Jan 2023,"['futurice', 'literature', 'innovation', 'tech', 'health']","['story futurice', 'business futurice', 'working futurice', 'futurice health']","[('futurice', 11), ('health', 9), ('work', 6), ('product', 6), ('story', 5), ('role', 5), ('different', 5), ('company', 5), ('henry', 4), ('lot', 4)]"
Brand evolution turned out to be an internal communications learning journey,10 Jan 2023,"['brand', 'brand', 'marketing', 'ownership', 'evolve']","['brand evolution', 'brand emotional', 'managing brand', 'brand strategy']","[('brand', 45), ('evolution', 16), ('people', 16), ('process', 15), ('launch', 10), ('company', 9), ('asset', 9), ('use', 8), ('work', 7), ('start', 6)]"
Our new Group CFO,10 Jan 2023,"['cfo', 'nordström', 'company', 'futurice', 'niklas']","['company futurice', 'cfo niklas', 'cfo nasdaq', 'futurice finance']","[('futurice', 11), ('company', 10), ('niklas', 8), ('group', 6), ('strategy', 6), ('cfo', 5), ('growth', 5), ('oyj', 5), ('new', 4), ('nordström', 4)]"
Azure Immersion Workshops Winter - Spring 2023: AI and Analytics,2 Jan 2023,"['azure', 'workshop', 'workshop', 'ai', 'analytic']","['workshops azure', 'ai azure', 'azure ai', 'learn azure']","[('azure', 20), ('|', 14), ('workshop', 13), ('ai', 9), ('registration', 8), ('9:30', 7), ('13:30', 7), ('helsinki', 7), ('close', 6), ('analytics', 5)]"
Digital Transformation: Driving Innovation and Resilience in the Digital Age,21 Dec 2022,"['digitally', 'maturity', 'digital', 'innovation', 'organizational']","['digital maturity', 'maturity digital', 'digital capabilities', 'digital strategy']","[('digital', 36), ('transformation', 16), ('company', 13), ('maturity', 13), ('value', 12), ('organization', 12), ('process', 9), ('create', 8), ('customer', 8), ('business', 6)]"
Tech Trends for 2023 and Beyond,15 Dec 2022,"['tech', 'technology', 'development', 'trend', '2023']","['tech trends', 'technology trends', 'tech 2023', 'technology google']","[('tech', 15), ('technology', 15), ('platform', 15), ('thing', 13), ('future', 12), ('trend', 11), ('like', 11), ('code', 9), ('time', 8), ('list', 8)]"
Shifting from time-to-market to time-to-value and why it matters,9 Dec 2022,"['value', 'optimize', 'market', 'project', 'advantage']","['value focused', 'building value', 'value philosophy', 'value customers']","[('value', 32), ('time', 15), ('customer', 14), ('create', 13), ('product', 11), ('outcome', 10), ('project', 10), ('focus', 8), ('help', 8), ('market', 7)]"
FutuStories: Eight things I’ve learned about communities – an interview with Thomas Eichhorn,7 Dec 2022,"['community', 'community', 'motive', 'collaboration', 'opportunity']","['participate communities', 'build community', 'gain communities', 'communities create']","[('community', 26), ('people', 18), ('group', 6), ('thing', 5), ('learn', 5), ('need', 5), ('business', 5), ('important', 4), ('work', 4), ('city', 4)]"
Supply chain management will become increasingly data-enabled,22 Nov 2022,"['logistic', 'ai', 'source', 'inventory', 'analytic']","['ai supply', 'supply chain', 'supply chains', 'management ai']","[('datum', 39), ('chain', 36), ('supply', 35), ('management', 33), ('company', 27), ('production', 24), ('improve', 21), ('ai', 19), ('solution', 18), ('digital', 17)]"
Modern managed services,18 Nov 2022,"['service', 'externalize', 'manage', 'provider', 'efficiency']","['managed services', 'managing services', 'clouds services', 'externalizing responsibilities']","[('service', 36), ('business', 15), ('manage', 14), ('team', 12), ('value', 10), ('system', 10), ('measure', 10), ('help', 9), ('end', 9), ('modern', 8)]"
"FutuStories - Meet Daniel Reed, Software Developer",10 Nov 2022,"['developer', 'challenge', 'expertise', 'client', 'futurice']","['developer daniel', 'software developer', 'resolving challenges', 'dev work']","[('work', 10), ('like', 7), ('challenge', 6), ('people', 6), ('year', 5), ('futurice', 5), ('enjoy', 5), ('get', 5), ('thing', 5), ('move', 4)]"
Taking healthcare to the next level with operational excellence,7 Nov 2022,"['excellence', 'operational', 'healthcare', 'performance', 'clinical']","['operational excellence', 'excellence operational', 'healthcare operational', 'excellence healthcare']","[('healthcare', 16), ('operational', 16), ('excellence', 16), ('organization', 13), ('datum', 11), ('company', 10), ('mean', 6), ('look', 6), ('leader', 6), ('connect', 5)]"
Machine learning project best practices learned from experience.,3 Nov 2022,"['project', 'productionise', 'learning', 'development', 'business']","['ml projects', 'projects ml', 'ml development', 'development ml']","[('project', 53), ('business', 39), ('solution', 37), ('datum', 29), ('ml', 29), ('machine', 27), ('value', 26), ('learning', 23), ('case', 23), ('new', 17)]"
Some of the oddest things we have built,3 Nov 2022,"['futurice', 'service', 'project', 'create', 'amusement']","['service development', 'service design', 'futurice github', 'services bring']","[('thing', 15), ('device', 11), ('big', 9), ('car', 9), ('self', 8), ('build', 7), ('year', 7), ('futurice', 7), ('end', 7), ('time', 6)]"
Using ecosystem thinking to shape your value proposition,25 Oct 2022,"['ecosystem', 'ecosystem', 'competitor', 'valuation', 'think']","['thinking ecosystem', 'companies ecosystem', 'ecosystem thinking', 'digital ecosystems']","[('ecosystem', 28), ('approach', 13), ('customer', 13), ('value', 8), ('datum', 8), ('product', 7), ('business', 7), ('thinking', 6), ('company', 6), ('work', 6)]"
FutuStories -The art of wearing different hats – an interview with Sachin Jethwa,18 Oct 2022,"['sachin', 'career', 'consultant', 'futurice', 'agile']","['interview sachin', 'belt sachin', 'sachin enjoys', 'sachin jethwa']","[('work', 21), ('futurice', 8), ('time', 7), ('project', 7), ('like', 6), ('different', 5), ('new', 5), ('practice', 5), ('sachin', 4), ('people', 4)]"
Preparing for the perfect storm,13 Oct 2022,"['storm', 'resilience', 'sail', 'agile', 'stakeholder']","['prepare storm', 'storm hiring', 'avoid storms', 'navigating storm']","[('work', 10), ('need', 9), ('client', 8), ('know', 7), ('service', 7), ('step', 6), ('create', 6), ('resiliency', 5), ('ship', 5), ('problem', 5)]"
The importance of customer focus,23 Sept 2022,"['customer', 'customer', 'satisfaction', 'centricity', 'focus']","['focusing customers', 'customer focus', 'customer focused', 'customer centricity']","[('customer', 30), ('focus', 14), ('organization', 11), ('company', 7), ('help', 6), ('service', 6), ('need', 6), ('want', 6), ('problem', 6), ('client', 5)]"
FutuStories - Six reasons Pasi left – and came back – to Futurice,16 Sept 2022,"['futurice', 'leave', 'reason', 'pasi', 'covid']","['leaving futurice', 'changing futurice', 'realise futurice', 'break futurice']","[('change', 19), ('futurice', 18), ('good', 9), ('company', 9), ('people', 8), ('world', 8), ('thing', 7), ('come', 6), ('work', 6), ('leave', 5)]"
Foresight and importance of foresight methods in business,13 Sept 2022,"['foresight', 'strategic', 'future', 'future', 'plan']","['business foresight', 'foresight strategic', 'foresight future', 'strategic foresight']","[('foresight', 29), ('future', 22), ('strategic', 17), ('organisation', 16), ('business', 15), ('change', 15), ('planning', 11), ('company', 10), ('method', 9), ('strategy', 9)]"
Uncertainty in business – how to deal with a volatile market,12 Sept 2022,"['uncertainty', 'digitalisation', 'recession', 'loom', 'resiliency']","['uncertainty looming', 'managing uncertainty', 'uncertainty business', 'uncertainty developing']","[('digital', 16), ('uncertainty', 11), ('organization', 11), ('future', 9), ('business', 7), ('transformation', 7), ('company', 6), ('volatile', 5), ('market', 5), ('need', 5)]"
FutuStories – Emma-Leena Heikkinen’s story,1 Sept 2022,"['responsibility', 'partnership', 'leader', 'futurice', 'emma']","['organisation helping', 'partnerships futurice', 'building trust', 'helping develop']","[('people', 21), ('work', 14), ('futurice', 7), ('client', 6), ('like', 5), ('help', 5), ('need', 5), ('good', 4), ('build', 4), ('different', 4)]"
A Safe Route through uncertain times,26 Aug 2022,"['safety', 'safe', 'route', 'traffic', 'datum']","['safest route', 'route safe', 'safer journey', 'safe route']","[('datum', 22), ('safe', 19), ('route', 18), ('digital', 8), ('accident', 8), ('innovation', 7), ('quality', 6), ('way', 6), ('share', 6), ('road', 6)]"
Sustainability data—what is it and why does it matter?,22 Aug 2022,"['sustainability', 'stakeholder', 'emission', 'supplier', 'enterprise']","['companies sustainability', 'sustainability customers', 'sustainability companies', 'sustainability reporting']","[('sustainability', 47), ('datum', 23), ('company', 18), ('customer', 12), ('value', 11), ('use', 10), ('technology', 10), ('improve', 9), ('business', 8), ('emission', 8)]"
"FutuStories - Meet Luisa, Senior Software Engineer & Tech Advisor",8 Aug 2022,"['luisa', 'engineering', 'career', 'creativity', 'hobbie']","['luisa creativity', 'maths passion', 'advisor luisa', 'creative designing']","[('work', 9), ('thing', 7), ('impact', 6), ('technology', 6), ('people', 6), ('hobby', 5), ('animal', 5), ('good', 5), ('software', 4), ('high', 4)]"
"Mob Programming – key issues it can solve, benefits, and learnings",8 Aug 2022,"['mobprogramme', 'mob', 'collaboration', 'task', 'agile']","['mob programming', 'practising mob', 'practise mob', 'task mob']","[('work', 64), ('mob', 52), ('programming', 46), ('task', 44), ('code', 43), ('team', 39), ('developer', 34), ('review', 28), ('time', 20), ('feature', 19)]"
FutuStories: A day at Futurice with Seth Peters,18 Jul 2022,"['futurice', 'teamwork', 'datum', 'job', 'scientist']","['data scientist', 'joining futurice', 'futurice data', 'data projects']","[('office', 10), ('work', 9), ('like', 8), ('futurice', 6), ('data', 6), ('people', 6), ('day', 5), ('lunch', 4), ('time', 4), ('coffee', 4)]"
Azure Immersion Workshops Autumn 2022: AI and Analytics,8 Jul 2022,"['azure', 'workshop', 'workshop', 'ai', 'helsinki']","['workshops azure', 'ai azure', 'azure ai', 'learn azure']","[('azure', 19), ('|', 16), ('workshop', 11), ('registration', 9), ('ai', 8), ('9:30', 8), ('13:30', 8), ('helsinki', 8), ('8:30', 8), ('12:30', 8)]"
Operation Sunray: A Finnish midsummer crash course,4 Jul 2022,"['participation', 'activity', 'midsummer', 'micromanagement', 'finnish']","['finnish midsummer', 'sunray finnish', 'overall participation', 'finnish lakeland']","[('finnish', 5), ('work', 5), ('time', 5), ('futurice', 4), ('operation', 3), ('lake', 3), ('year', 3), ('sauna', 3), ('sunray', 2), ('midsummer', 2)]"
Corporate foresight - A Way to Enhance Innovation Capabilities,1 Jul 2022,"['future', 'future', 'technological', 'innovation', 'foresight']","['businesses future', 'corporate foresight', 'business foresight', 'foresight innovation']","[('future', 20), ('foresight', 14), ('company', 14), ('innovation', 13), ('corporate', 10), ('plan', 10), ('change', 9), ('organization', 8), ('business', 8), ('need', 7)]"
Five things we have done to support mental health in the workplace,28 Jun 2022,"['workplace', 'illness', 'wellbee', 'psychological', 'stigmatization']","['workplace mental', 'employees mental', 'mental workplace', 'mental health']","[('mental', 48), ('health', 44), ('work', 15), ('employee', 14), ('issue', 8), ('company', 8), ('support', 7), ('workplace', 7), ('problem', 7), ('topic', 6)]"
Futurice Academy opens the door to lifelong learning,27 Jun 2022,"['academy', 'mentor', 'futurice', 'career', 'onboarde']","['futurice academy', 'career futurice', 'consultant futurice', 'developer futurice']","[('academy', 30), ('futurice', 29), ('work', 18), ('project', 15), ('learn', 12), ('arsalan', 12), ('irtaza', 12), ('experience', 10), ('include', 9), ('team', 8)]"
Accessible digital services are an essential part of an inclusive world,21 Jun 2022,"['accessibility', 'accessible', 'disability', 'impair', 'visibility']","['use accessibility', 'developing accessibility', 'accessibility important', 'important accessibility']","[('accessibility', 28), ('service', 23), ('digital', 19), ('people', 14), ('important', 8), ('develop', 8), ('start', 7), ('thing', 7), ('disability', 7), ('example', 7)]"
How to stay in the driver’s seat towards the future of mobility,20 Jun 2022,"['mobility', 'sustainability', 'electrification', 'evs', 'car']","['manufacturer mobility', 'electric vehicles', 'electrification mobility', 'mobility future']","[('future', 24), ('mobility', 24), ('company', 18), ('business', 17), ('car', 14), ('need', 13), ('service', 9), ('order', 9), ('industry', 8), ('understand', 7)]"
MLOps – what is it and what can you do with it?,15 Jun 2022,"['mlop', 'devop', 'automation', 'pipeline', 'train']","['practices mlops', 'mlops practices', 'implementing mlops', 'utilizing mlops']","[('model', 50), ('mlops', 30), ('datum', 24), ('machine', 22), ('development', 22), ('process', 20), ('learning', 17), ('automate', 17), ('work', 16), ('application', 15)]"
"FutuStories - Meet Dariia, UX/UI Designer",8 Jun 2022,"['career', 'designer', 'interest', 'pursue', 'futurice']","['career path', 'career journey', 'combine interests', 'combines interests']","[('design', 16), ('like', 12), ('people', 10), ('learn', 10), ('futurice', 9), ('ux', 6), ('career', 6), ('work', 6), ('ui', 5), ('value', 5)]"
What is SRE and how does it relate to DevOps?,6 Jun 2022,"['devop', 'sre', 'reliability', 'developer', 'deployment']","['devops sre', 'devops principles', 'reliability sre', 'devops meaning']","[('sre', 59), ('service', 59), ('team', 24), ('level', 23), ('cost', 22), ('work', 22), ('operation', 21), ('practice', 19), ('development', 19), ('principle', 16)]"
Three steps to creating a future-proof connected company,23 May 2022,"['innovation', 'innovate', 'connectivity', 'competitor', 'disruption']","['connected companies', 'connectivity business', 'investing innovation', 'need innovate']","[('company', 34), ('datum', 15), ('connect', 10), ('disconnection', 9), ('knowledge', 9), ('organization', 8), ('help', 8), ('step', 7), ('ai', 7), ('disconnected', 6)]"
Working at Futurice: Learning and improving together on our design system craft,19 May 2022,"['workshop', 'project', 'collaboration', 'client', 'craft']","['design teams', 'clients workshop', 'design projects', 'design team']","[('design', 39), ('system', 19), ('work', 14), ('community', 13), ('topic', 9), ('team', 8), ('project', 8), ('workshop', 7), ('internal', 7), ('client', 7)]"
"FutuStories - Meet Maiju, Culture Consultant and Service Designer",13 May 2022,"['consultant', 'designer', 'empathy', 'maiju', 'role']","['culture consultant', 'service designer', 'empathy consulting', 'designer maiju']","[('culture', 11), ('people', 11), ('role', 10), ('service', 9), ('futurice', 9), ('work', 8), ('design', 7), ('help', 6), ('company', 6), ('employee', 6)]"
Sustainability and the Next Big Thing,2 May 2022,"['fisherman', 'sustainability', 'businessman', 'leisure', 'consumption']","['industrious fisherman', 'sustainability big', 'fisherman advantages', 'consider fisherman']","[('big', 12), ('want', 11), ('thing', 9), ('need', 9), ('pandemic', 9), ('time', 8), ('problem', 7), ('life', 7), ('work', 7), ('well', 5)]"
Know the difference: Traditional ops vs. DevOps vs. SRE,29 Apr 2022,"['devop', 'sre', 'deployment', 'reliability', 'manage']","['sre devops', 'devops sre', 'devops principles', 'compare devops']","[('sre', 21), ('service', 21), ('devops', 12), ('slo', 10), ('operation', 9), ('work', 9), ('cost', 8), ('time', 7), ('reliability', 6), ('value', 6)]"
How Site Reliability Engineering can do more for your dev and ops,29 Apr 2022,"['devop', 'reliability', 'sre', 'outsource', 'downside']","['site reliability', 'increasing reliability', 'devops principles', 'reliability engineering']","[('team', 17), ('sre', 15), ('devops', 12), ('end', 11), ('development', 10), ('business', 9), ('service', 9), ('op', 8), ('reliability', 7), ('speed', 7)]"
Three tips to stand out and land your dream job in the tech industry,22 Apr 2022,"['recruit', 'apply', 'interview', 'career', 'tech']","['applying job', 'tips recruiters', 'decide interview', 'prepare interview']","[('job', 11), ('application', 11), ('recruiter', 8), ('help', 8), ('apply', 7), ('tip', 6), ('let', 6), ('know', 6), ('look', 6), ('stand', 5)]"
Agile tips and tricks,21 Apr 2022,"['scrum', 'agile', 'sprint', 'backlog', 'tip']","['advice scrum', 'agile tips', 'stable sprints', 'sprints unstable']","[('team', 18), ('good', 10), ('face', 10), ('daily', 10), ('tool', 8), ('member', 6), ('value', 6), ('work', 6), ('po', 6), ('story', 6)]"
